Store Name,Address,Latitude,Longitude,ZipCode,Status,2025 order
Midtown Liquor Store (219663),"1005 Chattahoochee Avenue Northwest, Atlanta, GA, USA",33.8008413,-84.4208494,30318,Inactive,0
Fishers Spirits Wine Beer (459419),"9887 East 116th Street, Fishers, IN, USA",39.9567075,-85.9904946,46037,Inactive,0
H M Liquors (166675),"1104 U.S. 130, Burlington, NJ, USA",40.0817213,-74.8388832,08016,Inactive,0
Royal Smoke & Spirits (109622),"389 West Austin Street, Giddings, TX, USA",30.1836123,-96.9401797,78942,Active,1
Bevda's Wine and Spirits (709903),"16955 Torrence Avenue, Lansing, IL, USA",41.5868023,-87.5582028,60438,Inactive,0
Joe's Wine & Spirits (210746),"2101 McCallie Avenue, Chattanooga, TN, USA",35.0350503,-85.2715601,37404,Inactive,0
Pecos Liquors (550505),"12051 North Pecos Street, Westminster, CO, USA",39.9149627,-105.0070672,80234,Active,43
Tipsy's Liquor (173845),"1887 North Columbia Street, Milledgeville, GA, USA",33.1051373,-83.2507056,31061,Inactive,0
FV Liquor Store (484167),"400 South Camellia Boulevard, Fort Valley, GA, USA",32.5495226,-83.8901833,31030,Inactive,0
J&J Package Store (731000),"3568 Wesley Chapel Road, Decatur, GA, USA",33.8179843,-84.6077113,30034,Inactive,57
Metro Liquors (304723),"2504 14th Street, Plano, TX, USA",33.0167094,-96.6817308,75074,Inactive,0
Arena Liquor 2 (717183),"907 Rain Forest Parkway, Columbia, MO, USA",38.989611,-92.3250462,65202,Inactive,16
Arena Liquor 3 (433925),"2201 North Ballenger Lane, Columbia, MO, USA",38.9734666,-92.2652375,65202,Inactive,0
Arena Liquor 4 (875479),"1205 Old Route K, Columbia, MO, USA",38.9250012,-92.3405018,65203,Inactive,0
East Rome Beverage Center (802104),"1800 Dean Avenue, Rome, GA, USA",34.2312155,-85.1607232,30161,Inactive,0
Gateway Liquor (648178),"3751 Tower Road, Aurora, CO, USA",39.7679754,-104.7730021,80011,Active,5
DTC Wine & Spirits (547280),"4920 South Yosemite Street, Greenwood Village, CO, USA",39.6255983,-104.8834879,80111,Active,129
Davenport Wines & Spirits (DWS-360 - 538058),"3801 North Capital of Texas Highway, Austin, TX, USA",30.3363249,-97.8045064,78746,Inactive,0
Village Pump Liquors (384855),"4901 Greenbelt Road, College Park, MD, USA",38.9980096,-76.9266429,20740,Active,126
Sweetwater Package Store (568932),"3900 Peachtree Industrial Boulevard, Duluth, GA, USA",33.9865073,-84.1700314,30096,Inactive,0
Alexanders liquors (416197),"457 Salem Street, Medford, MA, USA",42.4225971,-71.089678,02155,Inactive,0
J&R Liquors (779390),"4510 U.S. 14, Janesville, WI, USA",42.7073636,-88.9561015,53546,Inactive,0
My Liquor Bank (114032),"8910 South Central Avenue, Los Angeles, CA, USA",33.9552361,-118.2561113,90002,Inactive,0
J&R Liquors (821210),"4510 U.S. 14, Janesville, WI, USA",40.743767,-74.0388882,53546,Inactive,56
Joe Canal's Hammonton (617165),"80 South White Horse Pike, Hammonton, NJ, USA",39.6462978,-74.7874706,08037,Inactive,0
Horn Lake Wine And Spirits (122284),"3047 Goodman Road West, Horn Lake, MS, USA",34.9614967,-90.0453806,38637,Inactive,0
Adair Liquor Store (608637),"6001 North 42nd Avenue, Minneapolis, MN, USA",45.032004,-93.3565864,55422,Inactive,0
Dawson Fine Wine & Spirits (514778),"46 Blue Ridge Parkway, Dawsonville, GA, USA",34.3365885,-84.0545149,30534,Active,97
VIP Liquor & Wine (979033),"3958 Richmond Avenue, Richmond County, NY, USA",40.5415653,-74.1630464,10312,Active,140
Riverside Liquors (303430),"601 Riverside Avenue, Lyndhurst, NJ, USA",40.8094273,-74.1378968,07071,Active,0
67 Wine (250450),"179 Columbus Avenue, New York, NY, USA",40.7746082,-73.9805925,10023,Inactive,0
Discount Liquor (855470),"513 West Jefferson Street, Grand Prairie, TX, USA",32.7433253,-97.0093092,75051,Inactive,0
Chevron - Norcross (358294),"2394 Beaver Ruin Road, Norcross, GA, USA",33.9399126,-84.1930436,30071,Inactive,0
Lodi Wine & Liquor (320192),"25 Washington Street, Lodi, NJ, USA",40.8762203,-74.0850293,07644,Active,11
Saltwater Liquors (789103),"9 New Jersey 36, Atlantic Highlands, NJ, USA",40.4090123,-74.0414874,07716,Active,91
Goffle Road Wine and More (655488),"1100 Goffle Road, Hawthorne, NJ, USA",40.9696361,-74.153258,07506,Inactive,0
Big Al's Liquor Store (226927),"4150 Macland Road, Powder Springs, GA, USA",33.9030268,-84.6750446,30127,Inactive,0
Beer & Liquor Store (138162),"4622 Hypoluxo Road, Lake Worth, FL, USA",26.5706746,-80.1151075,33463,Active,18
Khushi Food Mart 2 (617414),"2704 Bemiss Road, Valdosta, GA, USA",30.8768001,-83.2763286,31602,Active,10
Liquor Hub (954425),"21643 Florida 7, Boca Raton, FL, USA",26.3546359,-80.2047448,33428,Active,30
Delray Liquor (612239),"14400 South Military Trail, Delray Beach, FL, USA",26.4633179,-80.1220688,33484,Active,45
The Bottle Shop (249049),"101 Southern Way, Columbus, GA, USA",32.5329248,-84.9629125,31904,Inactive,0
In Town (837099),"567 Main Street, Sayreville, NJ, USA",40.4721445,-74.3402661,08872,Inactive,0
North Main Package (662929),"422 North Main Street, Moultrie, GA, USA",31.1846353,-83.7884918,31768,Inactive,0
Perimeter Bottle Shop (744723),"4719 Ashford Dunwoody Road, Dunwoody, GA, USA",33.9319344,-84.3323064,30338,Active,91
Royal Spirits (682486),"240 South Tennessee Street, Cartersville, GA, USA",34.1633443,-84.7932439,30120,Active,111
Seabright Supermarket & Liquor (532367),"1160 Ocean Avenue North, Sea Bright, NJ, USA",40.2226129,-73.9995819,07760,Active,9
Monmouth Beach Supermarket (397354),"73 Riverdale Avenue, Monmouth Beach, NJ, USA",40.3308546,-73.9811758,07750,Active,2
Le Jeune Liquors Store (375492),"1110 East 8th Avenue, Hialeah, FL, USA",25.8325427,-80.2659112,33010,Inactive,0
Hub Bottle Shop (717801),"7770 Newnan Road, Brooks, GA, USA",33.2543748,-84.4906116,30205,Active,8
Liberty Liquors (561576),"966 Parkway Avenue, Ewing Township, NJ, USA",40.2566563,-74.7924145,08618,Active,341
Liquor Warehouse (110368),"1790 Wilma Rudolph Boulevard, Clarksville, TN, USA",36.554196,-87.325069,37040,Inactive,0
Andy's Package Store (592745),"23 Lower Meigs Road, Moultrie, GA, USA",31.1514869,-83.789813,31768,Inactive,0
Worth The Pour (295070),"3517 Windhaven Parkway, The Colony, TX, USA",33.0576962,-96.9009585,75056,Inactive,0
Squire Liquor & Tobacco (128189),"1929 South Plum Grove Road, Rolling Meadows, IL, USA",42.0897669,-88.0447714,60008,Inactive,0
Exit 18 Liquors (482361),"1197 Saint Augustine Road, Valdosta, GA, USA",30.8421122,-83.3238571,31601,Active,88
Metro Food & Liquor (851412),"5380 H Street, Sacramento, CA, USA",38.5676584,-121.4361766,95819,Inactive,0
Pioneer Hills Liquor (855622),"5590 South Parker Road, Aurora, CO, USA",39.6163233,-104.8139531,80015,Inactive,0
Russo's Fine Wine & Spirits (808239),"455 Bedford Street, Bridgewater, MA, USA",41.9760286,-70.9754465,02324,Inactive,8
Dracut Town Variety (952599),"1734 Lakeview Avenue, Dracut, MA, USA",42.6788153,-71.3425408,01826,Active,120
Centerfield Wine & Liquors (186712),"2700 West State Highway 22, Crestwood, KY, USA",38.3499814,-85.4082998,40014,Inactive,0
Primo Liquors & Fine Wine (707458),"700 South Federal Highway, Fort Lauderdale, FL, USA",26.1129767,-80.1367087,33316,Inactive,0
Crystal Lake Food & Liquor (644024),"540 East Terra Cotta Avenue, Crystal Lake, IL, USA",42.2491994,-88.3006335,60014,Inactive,0
Elgin Spirit & Wine (237622),"1350 East Chicago Street, Elgin, IL, USA",42.0307671,-88.2384359,60120,Active,18
Wing Park Liquors (450122),"571 North McLean Boulevard, Elgin, IL, USA",42.0474342,-88.311084,60123,Active,36
Minden Meat and Deli (626772),"1595 U.S. Highway 395 North, Minden, NV, USA",38.9529461,-119.7618138,89423,Inactive,0
Remedy Liquor (Remedy Liquor NY - 312466),"13844 101st Avenue, Queens County, NY, USA",40.6945502,-73.8092338,11435,Inactive,0
Remedy Liquor (Remedy Liquor CA - 646938),"1700 West Glenoaks Boulevard, Glendale, CA, USA",34.1711594,-118.2902623,91201,Inactive,0
Cindy Discount Liquor (827346),"6536 Skillman Street, Dallas, TX, USA",32.8653292,-96.7426686,75231,Active,32
Saddle Brook Liquor & Bar (636092),"383 Market Street, Saddle Brook, NJ, USA",40.8975265,-74.0966538,07663,Inactive,0
DDT Wines & Spirits (711938),"7206 Saint Charles Rock Road, St. Louis, MO, USA",38.6858546,-90.306128,63133,Inactive,0
Towne Square Wine & Spirits (394398),"6110 Cedarcrest Road, Acworth, GA, USA",34.0636095,-84.7260056,30101,Active,28
Om Star Liquor (183905),"1730 B F Terry Boulevard, Rosenberg, TX, USA",29.5542442,-95.7672631,77471,Active,4
Raymond's Liquor Stop (730051),"8111 U.S. 287 Frontage Road, Arlington, TX, USA",32.6153782,-97.1605081,76001,Inactive,0
Liquorland - Tifton (363729),"614 East 5th Street, Tifton, GA, USA",31.450228,-83.5049089,31794,Active,100
Freddie's Corner (169895),"295 Mount Pleasant Avenue, Woodland Park, NJ, USA",40.8937502,-74.1996581,07424,Active,23
Sandwich Package Store (449303),"118 Massachusetts 6A, Sandwich, MA, USA",41.7603492,-70.4952177,02563,Inactive,0
Halls Corner Store (171406),"2 Chestnut Street, Duxbury, MA, USA",42.0233489,-70.6835719,02332,Inactive,0
Rockland Liquor (777261),"347 Market Street, Rockland, MA, USA",42.1230054,-70.9074845,02370,Inactive,0
Capeway Convenience Store (838983),"578 Wareham Street, Middleborough, MA, USA",41.82294,-70.8232403,02346,Inactive,0
Rockland Liquor (333386),"347 Market Street, Rockland, MA, USA",42.1230054,-70.9074845,02370,Inactive,0
Bottle & Basket (762887),"2006 Redmond Circle, Rome, GA, USA",34.2860416,-85.2228916,30165,Active,1
Premium Package Outlet (560489),"3651 Dawson Forest Road East, Dawsonville, GA, USA",34.3550146,-84.0520559,30534,Active,48
MP'S Liquor And Wine (888188),"905 Oak Street, North Aurora, IL, USA",41.8081545,-88.3479752,60542,Inactive,0
Scott's Fine Wine & Spirits (403839),"646 Washington Street, Easton, MA, USA",42.0440769,-71.0781437,02375,Active,8
Napa Valley Beverage Co (559233),"35030 Mound Road, Sterling Heights, MI, USA",42.550981,-83.0476227,48310,Inactive,0
MP'S Liquor and Wine (271753),"351 North McLean Boulevard, South Elgin, IL, USA",41.9975652,-88.3150453,60177,Inactive,0
Wisky's Liquor 3 (888364),"1350 East Palm Valley Boulevard, Round Rock, TX, USA",30.5181914,-97.6651131,78664,Active,0
Maple Party Shop (496648),"8328 Veterans Parkway, Columbus, GA, USA",32.5690757,-84.9289886,31909,Inactive,0
Charlie's Package (378558),"4862 Canton Road, Marietta, GA, USA",34.0701234,-84.5212462,30066,Active,22
Lucky's Beverage World (907233),"610 Claremore Professional Way, Woodstock, GA, USA",34.0869996,-84.4691476,30188,Active,243
Remedy Liquor (Remedy Liquor TX - 454114),"6506 U.S. 90 Alternate, Sugar Land, TX, USA",29.5902933,-95.6964656,77498,Inactive,0
Trolley Spirits (433355),"613 Old Trolley Road, Summerville, SC, USA",32.9798035,-80.1734693,29485,Active,34
Bernier's Liquors (621324),"905 Plymouth Street, Bridgewater, MA, USA",41.9899845,-70.9424795,02324,Active,132
ABC Liquors (Chattanooga - 552390),"3948 Brainerd Road, Chattanooga, TN, USA",35.0200865,-85.2407326,37411,Inactive,0
Montgomery Discount Wine Market (219776),"2145 U.S. 206, Montgomery, NJ, USA",40.4487028,-74.6615073,08502,Inactive,1
West Side Liquor (652837),"105 South State Street, West Harrison, IN, USA",39.2618933,-84.8202534,47060,Active,20
333 East Main Street Wines & Liquor (184219),"333 East Main Street, Patchogue, NY, USA",40.7665492,-73.0035143,11772,Active,1
"Brix - Wine, Spirits, Beer (585366)","57 Decker Pond Road, Andover, NJ, USA",40.9481616,-74.7958636,07821,Inactive,0
Brick City Liquors (481654),"102 Avon Avenue, Newark, NJ, USA",40.7239455,-74.1935838,07108,Active,89
Three Springs Liquors (139670),"677 Three Springs Road, Bowling Green, KY, USA",36.9320994,-86.4236139,42104,Inactive,0
J & D Liquor & Wine (820040),"1600 Tribble Street, Anderson, SC, USA",34.516376,-82.6629648,29625,Inactive,0
54 Wine & Spirits (271726),"4551 Springhill Drive, Owensboro, KY, USA",37.7435782,-87.0420393,42303,Inactive,0
Holiday House Liquor (586364),"1197 West Central Avenue, Brea, CA, USA",33.9323687,-117.9153377,92821,Active,6
Quick Stop Liquors (530820),"1193 Biesterfield Road, Elk Grove Village, IL, USA",42.002677,-88.030683,60007,Active,5
Highland Park Wine & Liquors (637584),"97 Woodbridge Avenue, Highland Park, NJ, USA",40.501436,-74.4183928,08904,Active,176
Latino's Liquors (253324),"5115 Hudson Avenue, West New York, NJ, USA",40.7823787,-74.0167461,07093,Active,12
Midtown Liquor and Wine (245239),"105 Johnson Road, Louisville, KY, USA",38.2338755,-85.453194,40245,Active,1
Broadway Liquor (145446),"151 Broadway, Chula Vista, CA, USA",32.6429446,-117.0937577,91910,Inactive,0
Homestead Liquors & Wines (547588),"1338 Homestead Road North, Lehigh Acres, FL, USA",26.6098438,-81.6513354,33936,Inactive,18
Holabird Bar & Liquor (645976),"6701 Holabird Avenue, Baltimore, MD, USA",39.2723956,-76.5306298,21222,Inactive,0
Southeast Liquors (357848),"840 Cypress Gardens Boulevard, Winter Haven, FL, USA",28.0039154,-81.716151,33880,Inactive,0
Golden Bear Liquor 3 (151378),"1051 Murfreesboro Road, Lebanon, TN, USA",36.1744583,-86.301698,37090,Active,178
Ridgewalk Bottle Shop (160744),"311 Ridgewalk Parkway, Woodstock, GA, USA",34.1199297,-84.52079,30188,Active,0
Neunheuser's Liquor Store ((856) 349-7483 - 802466),"237 Broadway, Gloucester City, NJ, USA",39.9005038,-75.1205371,08030,Inactive,0
Beer Town (432311),"135-26A Cross Bay Boulevard, Queens County, NY, USA",40.6728465,-73.8438483,11417,Inactive,0
Liquor And More (Chasers Liquor) (708694),"5104 North W Street, Pensacola, FL, USA",30.4619278,-87.2516474,32505,Active,0
Liquor And More (Nelsons Liquor & Lounge) (752850),"2526 Gulf Beach Highway, Pensacola, FL, USA",30.3817078,-87.3069136,32507,Active,15
Liquor And More (Cutty Sark Liquor) (191473),"3811 Mobile Highway, Pensacola, FL, USA",30.4244603,-87.2642216,32505,Inactive,0
Woodsies Hilltop Bar (Need to remove as it's Bar) (672213),"5204 Mobile Highway, Pensacola, FL, USA",30.451185,-87.2928423,32526,Inactive,0
Liquor And More (Perdido Liquors) (151982),"8058 U.S. 98, Pensacola, FL, USA",30.4025086,-87.3199234,32506,Active,0
Liquor And More (Whiskey Barn) (229044),"315 Miracle Strip Parkway Southwest, Fort Walton Beach, FL, USA",30.4069879,-86.6327975,32548,Active,0
Liquor And More (Stars n Stripes Liquor & Fine Wine) (580491),"109 Racetrack Road Northeast, Fort Walton Beach, FL, USA",30.4472353,-86.6109076,32547,Active,35
The Wine Rack (Summit - 288270),"490 Morris Avenue, Summit, NJ, USA",40.7248804,-74.3716746,07901,Active,119
Hometown 41 Fine Wine and Spirits (647385),"2280 U.S. 41, Tifton, GA, USA",31.4730252,-83.519193,31794,Inactive,20
A1 Liquor Store (230829),"1213 South McDonald Street, McKinney, TX, USA",33.1858703,-96.613389,75069,Inactive,3
Sunny Spirit (977563),"507 North Irwin Avenue, Ocilla, GA, USA",31.5999258,-83.249797,31774,Inactive,1
Manning Liqours (820714),"427 Bridge Street, Lowell, MA, USA",42.6505431,-71.3033128,01850,Active,30
Mitty's Liquor (893430),"923 Baytree Road, Valdosta, GA, USA",30.8463684,-83.3034793,31602,Active,5
On The Run Liquor (499310),"7701 Stacy Road, McKinney, TX, USA",33.1514701,-96.7171841,75070,Inactive,0
The Wine Store (985541),"8455 Holcomb Bridge Road, Alpharetta, GA, USA",33.9859336,-84.2694001,30022,Inactive,0
Rox Fine Wine and Spirits (456199),"910 Peachtree Parkway, Cumming, GA, USA",34.1406397,-84.1735461,30041,Inactive,0
5 Kings Wines and Liquors (865784),"154 Avenue U, Kings County, NY, USA",40.5961245,-73.9786689,11223,Inactive,9
Friends Liquor (206619),"210 Southwest 2nd Street, Grand Prairie, TX, USA",32.7336583,-97.0048674,75051,Active,6
Mitt's Liquor 1 (627241),"3498 Madison Highway, Valdosta, GA, USA",30.7528602,-83.2735043,31601,Inactive,0
R & S Discount Food Wine & Liquor (942851),"2425 West Diversey Avenue, Chicago, IL, USA",41.9320163,-87.6889175,60647,Inactive,0
S & S Liquor (#1 - 670646),"2901 Sonoma Boulevard, Vallejo, CA, USA",38.1130783,-122.2549423,94590,Inactive,0
Beer Universe (177242),"1400 Central Avenue, Albany, NY, USA",42.7055768,-73.819777,12205,Inactive,0
Bluegrass Liquor Box (Canewood - 201425),"104 Canewood Center Drive, Georgetown, KY, USA",38.2098822,-84.5938634,40324,Inactive,0
Norman's Liquors (258912),"1701 Eastern Boulevard, Essex, MD, USA",39.3211843,-76.4521651,21221,Inactive,0
Oak Barrel Wine & Spirits (911046),"345 Colt Highway, Farmington, CT, USA",41.7112755,-72.8093856,06032,Active,12
Roosters Land Wine and Spirits (322228),"1340 Barnum Avenue, Stratford, CT, USA",41.1971437,-73.1374934,06615,Active,9
Six Pax & More Liquors (816644),"6622 Belair Road, Baltimore, MD, USA",39.3544544,-76.5317527,21206,Inactive,0
Main Street Package (527586),"3215 Main Street, East Point, GA, USA",33.6678298,-84.4451256,30344,Inactive,0
Midland Liquor (313247),"2502 North Eastman Road, Midland, MI, USA",43.683979,-84.2468326,48642,Inactive,0
Bartlett Liquors (473356),"1072 West Army Trail Road, Bartlett, IL, USA",41.9466851,-88.206133,60103,Active,1
Nomad's Liquor (327268),"1616 Southwest H K Dodgen Loop, Temple, TX, USA",31.0751923,-97.3718724,76504,Active,8
Prince Market Liquor (457108),"9826 Saint Charles Rock Road, Saint Ann, MO, USA",38.7222513,-90.3725699,63074,Inactive,0
Blarney Stone Wine & Spirits 1 (McKinley Avenue - 291059),"2934 McKinley Avenue, South Bend, IN, USA",33.5936613,-84.0139745,46615,Inactive,55
Blarney Stone Wine & Spirits 2 (Lincoln Way West - 328392),"3811 Lincoln Way West, South Bend, IN, USA",41.6941501,-86.302386,46628,Active,15
Blarney Stone Wine & Spirits 3 (Union St - 602497),"823 Union Street, Mishawaka, IN, USA",37.7082829,-97.3753042,46544,Active,47
Blarney Stone Wine & Spirits 5 (South Bend Avenue - 900923),"1818 South Bend Avenue, South Bend, IN, USA",33.9014879,-84.1238752,46637,Inactive,38
Blarney Stone Wine & Spirits 6 (Portage Avenue - 550267),"1355 Portage Avenue, South Bend, IN, USA",41.6936173,-86.2692215,46616,Inactive,16
Blarney Stone Wine & Spirits 7 (Miami St - 804492),"4527 Miami Street, South Bend, IN, USA",41.6284702,-86.2352699,46614,Active,62
Blarney Stone Wine & Spirits 8 (Bendix Dr - 816251),"3520 North Bendix Drive, South Bend, IN, USA",41.7244468,-86.2894461,46628,Inactive,4
Lincoln Liquor Mart (392846),"731 East Broadway, Centralia, IL, USA",38.5254935,-89.125815,62801,Inactive,0
Global Beverage Superstore (896633),"2157 West Point Road, LaGrange, GA, USA",33.0246232,-85.0767046,30240,Active,8
Magnum Wines & Spirits (918567),"61-02 Flushing Avenue, Queens County, NY, USA",40.7209503,-73.9038644,11378,Inactive,0
Sharpstown Liquor (897354),"7605 Dashwood Drive, Houston, TX, USA",29.7072847,-95.5193281,77036,Inactive,0
Royal Liquor Store (886459),"301 Magnolia Drive, Tifton, GA, USA",32.213632,-81.1988198,31794,Inactive,38
